X,Y,OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,SIGNID
-122.345692298966,47.6105179343534,13152,639408,, 30 129 LENORA LOT,GARY BECK,2067834144           ,"50 LENORA ST, SEATTLE, WA 98101",53, 30 129 LENORA LOT,,,,,,,,,,,,,,,N,,,
-122.354017366186,47.6653963190842,13153,556116,,WOODLAND PARK ZOO LOT  2,WOODLAND PARK ZOO SOCIETY,2062332503           ,"5000 PHINNEY AVE N, SEATTLE, WA 98103",140,WOODLAND PARK ZOO LOT  2,,,,,,,,,,,,,,,N,,,
-122.325704553289,47.6007126785274,13154,690382,,UNITED PARKING  4591,JONATHAN DIAMOND,2062843100           ,"601 S WASHINGTON ST, SEATTLE, WA 98104",40,UNITED PARKING  4591,,,,,,,,,,,,,,,N,,,
-122.32728583933,47.5994838985278,13155,543204,,IPM  23,JOAN SUNDBERG,2069327809           ,"500 S JACKSON ST, SEATTLE, WA 98104",100,IPM  23,,,,,,,,,,,,,,,N,,,
-122.333905310221,47.6080375848486,13156,639444,,THE FAIRMONT OLYMPIC HOTEL VALET PARKING MGT,KEITH JONES,2066525515           ,"411 UNIVERSITY ST, SEATTLE, WA 98101",0,THE FAIRMONT OLYMPIC HOTEL VALET PARKING MGT,,,,,,,,,,,,,,,N,,,
-122.318310196664,47.6582115509872,13157,723322,,IMPARK   4225 ROOSEVELT WAY NE,EDWARD DANYLUK,2063811789           ,"4225 ROOSEVELT WAY NE, SEATTLE, WA 98105",205,IMPARK   4225 ROOSEVELT WAY NE,,,,,,,,,,,,,,,N,,,
-122.318300798915,47.6588416043905,13158,723324,,IMPARK 143,EDWARD DANYLUK,2063811789           ,"4245 ROOSEVELT WAY NE, SEATTLE, WA 98105",205,IMPARK 143,,,,,,,,,,,,,,,N,,,
-122.316343578288,47.6033395197353,13159,583158,,DIAMOND PARKING  A492,JONATHAN DIAMOND,2069929475           ,"1203 E SPRUCE ST, SEATTLE, WA 98102",30,DIAMOND PARKING  A492,,,,,,,,,,,,,,,N,,,
-122.348732206749,47.6131732395974,13160,614641,,REPUBLIC PARKING 245 MARS HILL CHURCH LOT,GARY BECK,2067834144           ,"2333 WESTERN AVE, SEATTLE, WA 98121",22,REPUBLIC PARKING 245 MARS HILL CHURCH LOT,,,,,,,,,,,,,,,N,,,
-122.348358474326,47.6124540227848,13161,733310,,IMPARK 138,EDWARD DANYLUK,2063811789           ,"2300 ELLIOTT AVE, SEATTLE, WA 98121",127,IMPARK 138,,,,,,,,,,,,,,,N,,,
-122.383488656143,47.6674080298688,13162,717275,,REPUBLIC PARKING  109,GARY BECK,2067834144           ,"5433 LEARY AVE NW, SEATTLE, WA 98107",28,REPUBLIC PARKING  109,,,,,,,,,,,,,,,N,,,
-122.318426320254,47.6127114578018,13163,679931,,DIAMOND PARKING  A454,JONATHAN DIAMOND,2062843100           ,"1161 11TH AVE, SEATTLE, WA 98122",9,DIAMOND PARKING  A454,,,,,,,,,,,,,,,N,,,
-122.316414737771,47.6134298333499,13164,586728,,DIAMOND PARKING  A947,JONATHAN DIAMOND,2062846303           ,"1412 12TH AVE E, SEATTLE, WA 98102",36,DIAMOND PARKING  A947,,,,,,,,,,,,,,,N,,,
-122.341119859497,47.6164094690085,13165,530472,,IMPARK  4,EDWARD DANYLUK,2063811789           ,"2200 6TH AVE, SEATTLE, WA 98101",213,IMPARK  4,,,,,,,,,,,,,,,N,,,
-122.334577175138,47.5878805462524,13166,662686,,REPUBLIC PARKING 30 145,GARY BECK,2067834144           ,"1701 1ST AVE S, SEATTLE, WA 98134",60,REPUBLIC PARKING 30 145,,,,,,,,,,,,,,,N,,,
-122.31218253388,47.6682420539723,13167,728488,,DIAMOND PARKING SERVICES WX27,JONATHAN DIAMOND,2062843100           ,"5263 15TH AVE NE, SEATTLE, WA 98105",5,DIAMOND PARKING SERVICES WX27,,,,,,,,,,,,,,,N,,,
-122.313893653092,47.6642915805576,13168,637245,,DIAMOND PARKING  WU57,JONATHAN DIAMOND,2062843100           ,"4732 BROOKLYN AVE NE, SEATTLE, WA 98105",10,DIAMOND PARKING  WU57,,,,,,,,,,,,,,,N,,,
-122.313447064168,47.6638248618933,13169,593922,,DIAMOND  WU58,JONATHAN DIAMOND,2062843100           ,"4725 UNIVERSITY WAY NE, SEATTLE, WA 98105",63,DIAMOND  WU58,,,,,,,,,,,,,,,N,,,
-122.313397307509,47.6634494695784,13170,690568,,DIAMOND PARKING  WU77   B OF A,JONATHAN DIAMOND,2062843100           ,"4701 UNIVERSITY WAY NE, SEATTLE, WA 98105",36,DIAMOND PARKING  WU77   B OF A,,,,,,,,,,,,,,,N,,,
-122.351409041969,47.6170643939772,13171,729620,,LAZ PARKING BAY VISTA,ALAN LAZOWSKI,8605227641           ,"2821 2ND AVE, SEATTLE, WA 98121-1282",173,LAZ PARKING BAY VISTA,,,,,,,,,,,,,,,N,,,
